官方词条序号,state_id,状态名,Hint ID,官方分类,官方接口原文,最终取值表达式
1,burn,灼烧,690072,持续性状态,持续性状态，每回合持续对武将部队造成伤害,Global.LangId[690072]
2,flood,水攻,690073,持续性状态,持续性状态，拥有该状态的武将行动时将受到伤害,Global.LangId[690073]
3,poison,中毒,690074,持续性状态,持续性状态，拥有该状态的武将行动时将受到伤害,Global.LangId[690074]
4,rout,溃逃,690075,持续性状态,持续性状态，拥有该状态的武将行动时将受到伤害,Global.LangId[690075]
5,sandstorm,沙暴,690076,持续性状态,持续性状态，拥有该状态的武将行动时将受到伤害,Global.LangId[690076]
6,rebellion,叛逃,690077,持续性状态,持续性状态，每回合对武将部队造成伤害，无视防御,Global.LangId[690077]
7,first_aid,急救,690078,持续性状态,持续性状态，受到伤害时恢复兵力,Global.LangId[690078]
8,recuperation,休整,690079,持续性状态,持续性状态，每回合恢复一次兵力,Global.LangId[690079]
11,combo,连击,690081,功能性状态,功能性增益状态，每回合可额外进行一次普通攻击,Global.LangId[690081]
12,evasion,规避,690082,功能性状态,功能性增益状态，可回避伤害，规避几率为非线性叠加,Global.LangId[690082]
13,barrier,抵御,690083,功能性状态,功能性增益状态，可免疫伤害,Global.LangId[690083]
14,cleave,群攻,690084,功能性状态,功能性增益状态，普通攻击对目标同部队其他武将造成伤害,Global.LangId[690084]
15,counterattack,反击,690085,功能性状态,功能性增益状态，受到普通攻击时对攻击者造成伤害,Global.LangId[690085]
16,damage_split,分摊,690086,功能性状态,功能性增益状态，各目标分别承担一部分伤害,Global.LangId[690086]
17,damage_share,分担,690087,功能性状态,功能性增益状态，为目标承担一部分伤害,Global.LangId[690087]
18,insight,洞察,690089,功能性状态,功能性增益状态，可免疫控制状态,Global.LangId[690089]
19,first_strike,先攻,690090,功能性状态,功能性增益状态，让武将在回合内优先行动，多名武将同时拥有先攻状态时则根据速度高低决定行动顺序,Global.LangId[690090]
20,ambush,遇袭,690091,功能性状态,功能性减益状态，让武将在回合内延后行动，多名武将同时拥有先攻状态时则根据速度高低决定行动顺序,Global.LangId[690091]
21,sure_hit,必中,690092,功能性状态,功能性增益状态，发动战法及普通攻击命中目标时无视规避及抵御,Global.LangId[690092]
22,defense_pierce,破阵,690093,功能性状态,功能性增益状态，造成伤害时无视目标统率及智力,Global.LangId[690093]
23,weapon_lifesteal,倒戈,690094,功能性状态,功能性增益状态，造成兵刃伤害时，根据伤害量恢复自身一定兵力,Global.LangId[690094]
24,strategy_lifesteal,攻心,690095,功能性状态,功能性增益状态，造成谋略伤害时，根据伤害量恢复自身一定兵力,Global.LangId[690095]
25,chain_link,铁索连环,690097,功能性状态,功能性减益状态，任一目标受到伤害时，反馈一定百分比的伤害给其他目标,Global.LangId[690097]
26,guard,援护,690098,功能性状态,功能性增益状态，为目标承担普通攻击,Global.LangId[690098]
27,vigilance,警戒,690099,功能性状态,功能性增益状态，可减少单次受到的伤害,Global.LangId[690099]
29,silence,计穷,690101,控制状态,控制状态，无法发动主动战法,Global.LangId[690101]
30,disarm,缴械,690102,控制状态,控制状态，无法发动普通攻击,Global.LangId[690102]
31,confusion,混乱,690103,控制状态,控制状态，战法和普通攻击无差别选择目标,Global.LangId[690103]
32,weakness,虚弱,690104,控制状态,控制状态，无法造成伤害,Global.LangId[690104]
33,healing_ban,禁疗,690105,控制状态,控制状态，无法恢复兵力,Global.LangId[690105]
34,taunt,嘲讽,690106,控制状态,控制状态，强迫目标的普通攻击以自身为目标,Global.LangId[690106]
35,false_report,伪报,690107,控制状态,控制状态，无视洞察效果，暂时使目标的指挥战法和被动战法失效,Global.LangId[690107]
36,provoke,挑拨,690108,控制状态,控制状态，强迫目标施放的战法选择自己,Global.LangId[690108]
37,equipment_disable,破坏,690109,控制状态,控制状态，使目标的装备失效,Global.LangId[690109]
38,capture,捕获,690110,控制状态,控制状态，无法行动和造成伤害、禁用指挥和被动战法、进入禁疗状态、无法被其友方武将选中,Global.LangId[690110]
39,stun,震慑,690111,控制状态,控制状态，无法行动,Global.LangId[690111]
40,critical,会心,690070,其他,有概率造成双倍兵刃伤害,Global.LangId[690070]
41,strategy_critical,奇谋,690069,其他,有概率造成双倍谋略伤害,Global.LangId[690069]
45,damage_reduction_pierce,看破,690221,其他,造成伤害时无视目标一定比例的受到伤害降低效果,Global.LangId[690221]
46,intimidation,威慑,690222,其他,使目标1个战法失效，阵法除外,Global.LangId[690222]
